Lammps data file for initial configuration

2304 atoms

2 atom types

-80	80 xlo xhi
-80	80 ylo yhi
-80	80 zlo zhi
0 0 0 xy xz yz

Masses

1	25
2	0.2
Atoms

1	1	1	-48	-80	-80	-80
2	2	1	-48	-60	-60	-80
3	3	1	-48	-60	-80	-60
4	4	1	-48	-80	-60	-60
5	5	1	-48	-80	-80	-40
6	6	1	-48	-60	-60	-40
7	7	1	-48	-60	-80	-20
8	8	1	-48	-80	-60	-20
9	9	1	-48	-80	-80	0
10	10	1	-48	-60	-60	0
11	11	1	-48	-60	-80	20
12	12	1	-48	-80	-60	20
13	13	1	-48	-80	-80	40
14	14	1	-48	-60	-60	40
15	15	1	-48	-60	-80	60
16	16	1	-48	-80	-60	60
17	17	1	-48	-80	-40	-80
18	18	1	-48	-60	-20	-80
19	19	1	-48	-60	-40	-60
20	20	1	-48	-80	-20	-60
21	21	1	-48	-80	-40	-40
22	22	1	-48	-60	-20	-40
23	23	1	-48	-60	-40	-20
24	24	1	-48	-80	-20	-20
25	25	1	-48	-80	-40	0
26	26	1	-48	-60	-20	0
27	27	1	-48	-60	-40	20
28	28	1	-48	-80	-20	20
29	29	1	-48	-80	-40	40
30	30	1	-48	-60	-20	40
31	31	1	-48	-60	-40	60
32	32	1	-48	-80	-20	60
33	33	1	-48	-80	0	-80
34	34	1	-48	-60	20	-80
35	35	1	-48	-60	0	-60
36	36	1	-48	-80	20	-60
37	37	1	-48	-80	0	-40
38	38	1	-48	-60	20	-40
39	39	1	-48	-60	0	-20
40	40	1	-48	-80	20	-20
41	41	1	-48	-80	0	0
42	42	1	-48	-60	20	0
43	43	1	-48	-60	0	20
44	44	1	-48	-80	20	20
45	45	1	-48	-80	0	40
46	46	1	-48	-60	20	40
47	47	1	-48	-60	0	60
48	48	1	-48	-80	20	60
49	49	1	-48	-80	40	-80
50	50	1	-48	-60	60	-80
51	51	1	-48	-60	40	-60
52	52	1	-48	-80	60	-60
53	53	1	-48	-80	40	-40
54	54	1	-48	-60	60	-40
55	55	1	-48	-60	40	-20
56	56	1	-48	-80	60	-20
57	57	1	-48	-80	40	0
58	58	1	-48	-60	60	0
59	59	1	-48	-60	40	20
60	60	1	-48	-80	60	20
61	61	1	-48	-80	40	40
62	62	1	-48	-60	60	40
63	63	1	-48	-60	40	60
64	64	1	-48	-80	60	60
65	65	1	-48	-40	-80	-80
66	66	1	-48	-20	-60	-80
67	67	1	-48	-20	-80	-60
68	68	1	-48	-40	-60	-60
69	69	1	-48	-40	-80	-40
70	70	1	-48	-20	-60	-40
71	71	1	-48	-20	-80	-20
72	72	1	-48	-40	-60	-20
73	73	1	-48	-40	-80	0
74	74	1	-48	-20	-60	0
75	75	1	-48	-20	-80	20
76	76	1	-48	-40	-60	20
77	77	1	-48	-40	-80	40
78	78	1	-48	-20	-60	40
79	79	1	-48	-20	-80	60
80	80	1	-48	-40	-60	60
81	81	1	-48	-40	-40	-80
82	82	1	-48	-20	-20	-80
83	83	1	-48	-20	-40	-60
84	84	1	-48	-40	-20	-60
85	85	1	-48	-40	-40	-40
86	86	1	-48	-20	-20	-40
87	87	1	-48	-20	-40	-20
88	88	1	-48	-40	-20	-20
89	89	1	-48	-40	-40	0
90	90	1	-48	-20	-20	0
91	91	1	-48	-20	-40	20
92	92	1	-48	-40	-20	20
93	93	1	-48	-40	-40	40
94	94	1	-48	-20	-20	40
95	95	1	-48	-20	-40	60
96	96	1	-48	-40	-20	60
97	97	1	-48	-40	0	-80
98	98	1	-48	-20	20	-80
99	99	1	-48	-20	0	-60
100	100	1	-48	-40	20	-60
101	101	1	-48	-40	0	-40
102	102	1	-48	-20	20	-40
103	103	1	-48	-20	0	-20
104	104	1	-48	-40	20	-20
105	105	1	-48	-40	0	0
106	106	1	-48	-20	20	0
107	107	1	-48	-20	0	20
108	108	1	-48	-40	20	20
109	109	1	-48	-40	0	40
110	110	1	-48	-20	20	40
111	111	1	-48	-20	0	60
112	112	1	-48	-40	20	60
113	113	1	-48	-40	40	-80
114	114	1	-48	-20	60	-80
115	115	1	-48	-20	40	-60
116	116	1	-48	-40	60	-60
117	117	1	-48	-40	40	-40
118	118	1	-48	-20	60	-40
119	119	1	-48	-20	40	-20
120	120	1	-48	-40	60	-20
121	121	1	-48	-40	40	0
122	122	1	-48	-20	60	0
123	123	1	-48	-20	40	20
124	124	1	-48	-40	60	20
125	125	1	-48	-40	40	40
